     Index  y_measurement      y_fitting   descriptor_1   descriptor_2   descriptor_3   descriptor_4   descriptor_5
         1   -0.73000E-01   -0.92934E-01    0.44864E+00    0.33670E-01    0.34001E+01    0.49817E+01   -0.26811E-01
         2   -0.12240E+00   -0.14986E+00    0.49274E+00    0.30166E-01    0.33891E+01    0.67879E+01   -0.30991E-01
         3   -0.68400E-01   -0.48259E-01    0.38888E+00    0.15980E-01    0.33764E+01    0.44448E+01   -0.22316E-01
         4   -0.60000E-01   -0.60126E-01    0.30164E+00    0.23353E+00    0.99046E+01    0.52243E+00   -0.12885E-01
         5   -0.95500E-01   -0.12965E+00    0.33753E+00    0.33732E+00    0.10303E+02    0.52087E+00   -0.13600E-01
         6   -0.55200E-01   -0.19250E-01    0.27589E+00    0.17619E+00    0.96899E+01    0.51178E+00   -0.12161E-01
         7   -0.76900E-01   -0.12315E+00    0.10135E+01   -0.72154E-01    0.37105E+01    0.29007E+00   -0.66776E-02
         8   -0.10770E+01   -0.10834E+01    0.22091E+01    0.29458E+00    0.11730E+03   -0.65140E+00   -0.47189E-02
         9   -0.11450E+00   -0.14377E+00    0.87422E+00    0.53167E-01    0.44315E+01    0.19902E+00   -0.16062E-01
        10   -0.19680E+00   -0.17005E+00    0.93907E+00    0.51156E-01    0.44080E+01    0.33048E+00   -0.19988E-01
        11   -0.84900E-01   -0.10275E+00    0.80902E+00    0.27459E-01    0.43699E+01    0.73767E-01   -0.12961E-01
        12   -0.24870E+00   -0.25663E+00    0.87603E+00    0.19403E+00    0.53551E+01   -0.23036E+00   -0.14621E+00
        13   -0.42970E+00   -0.41013E+00    0.10102E+01    0.32075E+00    0.56174E+01   -0.46181E-01   -0.24409E+00
        14   -0.20360E+00   -0.22981E+00    0.86616E+00    0.15392E+00    0.52955E+01   -0.24307E+00   -0.14193E+00
        15   -0.37490E+00   -0.39706E+00    0.17432E+01    0.46633E+00   -0.75299E+02   -0.53580E+00   -0.28172E-02
        16   -0.74080E+00   -0.70344E+00    0.17503E+01    0.28966E+00    0.42460E+02    0.36941E+00   -0.72185E-02
        17   -0.33500E+00   -0.34324E+00    0.14249E+01    0.60945E-01    0.80040E+01   -0.12405E+00   -0.31388E-02
        18   -0.45320E+00   -0.41411E+00    0.21320E+01   -0.24845E+00    0.10986E+01   -0.15201E-01   -0.14337E-01
        19   -0.37710E+00   -0.37606E+00    0.17201E+01   -0.24766E-01    0.10025E+01   -0.33251E+00   -0.51276E-02
        20   -0.29730E+00   -0.23634E+00    0.10742E+01    0.11248E+00    0.46469E+01   -0.12888E+00   -0.65215E-02
        21   -0.17380E+00   -0.23507E+00    0.10955E+01    0.11713E+00    0.47505E+01   -0.64679E+00   -0.74597E-02
        22   -0.24740E+00   -0.34049E+00    0.11931E+01    0.23750E+00    0.51639E+01   -0.45781E+00   -0.10155E-01
        23   -0.15630E+00   -0.22685E+00    0.10919E+01    0.10449E+00    0.47522E+01   -0.65443E+00   -0.73501E-02
        24   -0.13960E+00   -0.13736E+00    0.62135E+00    0.19025E+00    0.96735E+01    0.50162E-01   -0.77789E-02
        25   -0.24600E+00   -0.22573E+00    0.68532E+00    0.30573E+00    0.10241E+02    0.12196E+00   -0.96951E-02
        26   -0.11410E+00   -0.11079E+00    0.60991E+00    0.14948E+00    0.95227E+01    0.40493E-01   -0.75558E-02
        27   -0.22910E+00   -0.19821E+00    0.10589E+01    0.92243E-01    0.18705E+01   -0.71325E+00   -0.78443E-02
        28   -0.31450E+00   -0.31444E+00    0.12182E+01    0.18513E+00    0.19702E+01   -0.36764E+00   -0.13169E-01
        29   -0.17230E+00   -0.18003E+00    0.10275E+01    0.83108E-01    0.18722E+01   -0.79280E+00   -0.69053E-02
        30   -0.26870E+00   -0.25118E+00    0.11849E+01    0.85633E-01    0.15240E+01   -0.15464E+00   -0.75272E-02
        31   -0.57740E+00   -0.56064E+00    0.21574E+01   -0.76618E-02    0.45933E-01    0.31919E-01   -0.48223E-01
        32   -0.50810E+00   -0.41341E+00    0.22041E+01   -0.29363E+00    0.68594E+00    0.11712E-01   -0.96792E-02
        33   -0.39760E+00   -0.39663E+00    0.17815E+01   -0.26508E-01    0.63681E+00   -0.26694E+00   -0.31117E-02
        34   -0.33830E+00   -0.30101E+00    0.14078E+01    0.42243E-01   -0.71026E+00   -0.64863E-01   -0.38219E-02
        35   -0.64700E+00   -0.65642E+00    0.20426E+01    0.47042E-01    0.24251E+01   -0.35152E+00   -0.36873E+00
        36   -0.43320E+00   -0.53405E+00    0.24111E+01   -0.23175E+00    0.89514E+01   -0.53893E+00   -0.10998E-01
        37   -0.39430E+00   -0.41954E+00    0.18911E+01   -0.73043E-01    0.85664E+01   -0.98201E+00   -0.30210E-02
        38   -0.68740E+00   -0.64508E+00    0.17560E+01    0.48566E+00   -0.57651E+01   -0.13514E+00   -0.91856E-02
        39   -0.41800E+00   -0.35825E+00    0.14749E+01    0.17520E+00   -0.98776E+01   -0.42397E+00   -0.41051E-02
        40   -0.49870E+00   -0.54713E+00    0.21666E+01   -0.23503E-01   -0.89606E+00    0.52494E-01   -0.31082E-01
        41   -0.46700E-01    0.24263E-01    0.45477E+00    0.18355E-01    0.45508E+01    0.34064E+00   -0.42331E-02
        42   -0.63130E+00   -0.60663E+00    0.20290E+01    0.72253E-01    0.50980E+00   -0.26448E+00   -0.20870E+00
