     Index  y_measurement      y_fitting   descriptor_1   descriptor_2   descriptor_3   descriptor_4   descriptor_5
         1   -0.73000E-01   -0.42918E-01    0.43700E+00   -0.10938E-03    0.95610E+00   -0.26811E-01    0.38526E+00
         2   -0.12240E+00   -0.59696E-01    0.48362E+00   -0.12799E-03    0.96548E+00   -0.30991E-01    0.35756E+00
         3   -0.68400E-01   -0.19678E-01    0.38266E+00   -0.41015E-04    0.97640E+00   -0.22316E-01    0.48440E+00
         4   -0.60000E-01   -0.49022E-01    0.20727E+00   -0.82012E-03    0.66356E+00   -0.12885E-01    0.24164E+00
         5   -0.95500E-01   -0.13549E+00    0.21825E+00   -0.15472E-02    0.58954E+00   -0.13600E-01    0.26465E+00
         6   -0.55200E-01   -0.74849E-02    0.19579E+00   -0.48889E-03    0.70864E+00   -0.12161E-01    0.22528E+00
         7   -0.76900E-01   -0.13397E+00    0.96674E+00    0.23896E-03    0.10700E+01   -0.66776E-02    0.91545E-01
         8   -0.10770E+01   -0.10706E+01    0.21980E+01   -0.17812E-02   -0.72531E+04   -0.47189E-02    0.36474E+00
         9   -0.36140E+00   -0.47289E+00    0.19572E+01   -0.19630E-03   -0.28378E+03   -0.26466E-02    0.16122E+00
        10   -0.11450E+00   -0.16638E+00    0.86067E+00   -0.14824E-03    0.90556E+00   -0.16062E-01    0.70454E+00
        11   -0.19680E+00   -0.18692E+00    0.92766E+00   -0.18630E-03    0.92008E+00   -0.19988E-01    0.48836E+00
        12   -0.84900E-01   -0.15964E+00    0.80115E+00   -0.60494E-04    0.94437E+00   -0.12961E-01    0.17220E+01
        13   -0.51090E+00   -0.53681E+00    0.18394E+01   -0.69136E-04    0.10723E+01   -0.84708E-02    0.59442E+01
        14   -0.24870E+00   -0.25947E+00    0.84234E+00   -0.44668E-03    0.74195E+00   -0.14621E+00    0.42510E+00
        15   -0.42970E+00   -0.44470E+00    0.96151E+00   -0.96443E-03    0.64277E+00   -0.24409E+00    0.23384E+01
        16   -0.20360E+00   -0.23515E+00    0.83609E+00   -0.27997E-03    0.76727E+00   -0.14193E+00    0.36128E+00
        17   -0.50170E+00   -0.49097E+00    0.20405E+01   -0.17558E-03    0.11279E+01   -0.86460E-02    0.54420E+00
        18   -0.37490E+00   -0.42654E+00    0.17065E+01   -0.53855E-03    0.33329E-01   -0.28172E-02    0.97433E-01
        19   -0.74080E+00   -0.68912E+00    0.17256E+01   -0.26437E-02    0.25812E-02   -0.72185E-02    0.85147E+00
        20   -0.33500E+00   -0.34919E+00    0.14171E+01   -0.24722E-03    0.38534E+00   -0.31388E-02    0.18127E+01
        21   -0.45320E+00   -0.42851E+00    0.21509E+01    0.21422E-02    0.72584E+00   -0.14337E-01    0.84388E+01
        22   -0.37710E+00   -0.36359E+00    0.17229E+01    0.94907E-04    0.95524E+00   -0.51276E-02    0.24792E+00
        23   -0.29730E+00   -0.21858E+00    0.10550E+01   -0.19108E-03    0.78014E+00   -0.65215E-02    0.62470E+00
        24   -0.17380E+00   -0.22531E+00    0.10748E+01   -0.27168E-03    0.74438E+00   -0.74597E-02    0.22462E+00
        25   -0.24740E+00   -0.30286E+00    0.11564E+01   -0.71953E-03    0.57952E+00   -0.10155E-01    0.34314E+00
        26   -0.15630E+00   -0.21454E+00    0.10711E+01   -0.19150E-03    0.74355E+00   -0.73501E-02    0.19728E+00
        27   -0.13960E+00   -0.15173E+00    0.56921E+00   -0.55020E-03    0.68139E+00   -0.77789E-02    0.19084E+01
        28   -0.24600E+00   -0.21124E+00    0.61201E+00   -0.11548E-02    0.57431E+00   -0.96951E-02    0.86271E+00
        29   -0.11410E+00   -0.13101E+00    0.56382E+00   -0.34156E-03    0.71427E+00   -0.75558E-02    0.21256E+01
        30   -0.22910E+00   -0.21067E+00    0.10424E+01   -0.21543E-03    0.82336E+00   -0.78443E-02    0.25166E+00
        31   -0.31450E+00   -0.30000E+00    0.11892E+01   -0.56472E-03    0.70457E+00   -0.13169E-01    0.53013E+00
        32   -0.17230E+00   -0.19324E+00    0.10108E+01   -0.15336E-03    0.82111E+00   -0.69053E-02    0.20106E+00
        33   -0.26870E+00   -0.24787E+00    0.11688E+01   -0.15309E-03    0.79489E+00   -0.75272E-02    0.68780E+00
        34   -0.57740E+00   -0.53034E+00    0.21590E+01    0.14403E-04    0.98636E+00   -0.48223E-01    0.85374E+00
        35   -0.39760E+00   -0.37964E+00    0.17839E+01    0.90278E-04    0.96709E+00   -0.31117E-02    0.22967E+00
        36   -0.33830E+00   -0.31273E+00    0.14007E+01   -0.71056E-04    0.71338E+00   -0.38219E-02    0.12331E+01
        37   -0.64700E+00   -0.66302E+00    0.20363E+01   -0.70919E-04    0.11021E+01   -0.36873E+00    0.10911E+00
        38   -0.43320E+00   -0.40954E+00    0.24202E+01    0.14344E-02    0.78241E+00   -0.10998E-01    0.26919E+00
        39   -0.39430E+00   -0.39531E+00    0.18954E+01    0.20093E-03    0.89270E+00   -0.30210E-02    0.96820E-01
        40   -0.41800E+00   -0.35991E+00    0.14566E+01   -0.64259E-03    0.24977E+03   -0.41051E-02    0.23501E+00
        41   -0.49870E+00   -0.51374E+00    0.21730E+01    0.50480E-04    0.95804E+00   -0.31082E-01    0.51464E+00
        42   -0.46700E-01   -0.25676E-01    0.46398E+00   -0.53498E-04    0.98255E+00   -0.42331E-02    0.90024E-01
        43   -0.63130E+00   -0.57747E+00    0.20164E+01   -0.12442E-03    0.11649E+01   -0.20870E+00    0.12212E+00
