     Index  y_measurement      y_fitting   descriptor_1   descriptor_2   descriptor_3   descriptor_4   descriptor_5
         1   -0.73000E-01   -0.27012E+00    0.12212E+00    0.19806E+02    0.17585E+00    0.26623E+02    0.56867E+01
         2   -0.12240E+00   -0.27012E+00    0.12212E+00    0.19806E+02    0.17585E+00    0.26623E+02    0.56867E+01
         3   -0.68400E-01   -0.27012E+00    0.12212E+00    0.19806E+02    0.17585E+00    0.26623E+02    0.56867E+01
         4   -0.60000E-01   -0.27012E+00    0.12212E+00    0.19806E+02    0.17585E+00    0.26623E+02    0.56867E+01
         5   -0.95500E-01   -0.27012E+00    0.12212E+00    0.19806E+02    0.17585E+00    0.26623E+02    0.56867E+01
         6   -0.55200E-01   -0.27012E+00    0.12212E+00    0.19806E+02    0.17585E+00    0.26623E+02    0.56867E+01
         7   -0.76900E-01   -0.34723E+00    0.12059E+00    0.27148E+02    0.17956E+00    0.35979E+02    0.55692E+01
         8   -0.10770E+01   -0.47563E+00    0.11771E+00    0.81429E+01    0.15067E+00    0.92234E+01    0.66370E+01
         9   -0.36140E+00   -0.47563E+00    0.11771E+00    0.81429E+01    0.15067E+00    0.92234E+01    0.66370E+01
        10   -0.19680E+00   -0.47563E+00    0.11771E+00    0.81429E+01    0.15067E+00    0.92234E+01    0.66370E+01
        11   -0.51090E+00   -0.54126E+00    0.11537E+00    0.55683E+02    0.18343E+00    0.64949E+02    0.54516E+01
        12   -0.24870E+00   -0.28686E+00    0.12212E+00    0.12035E+02    0.16547E+00    0.15398E+02    0.60435E+01
        13   -0.42970E+00   -0.28686E+00    0.12212E+00    0.12035E+02    0.16547E+00    0.15398E+02    0.60435E+01
        14   -0.20360E+00   -0.28686E+00    0.12212E+00    0.12035E+02    0.16547E+00    0.15398E+02    0.60435E+01
        15   -0.50170E+00   -0.52105E+00    0.10529E+00    0.19054E+03    0.18299E+00    0.14469E+03    0.54649E+01
        16   -0.37490E+00   -0.49856E+00    0.11669E+00    0.77554E+01    0.14819E+00    0.85948E+01    0.67481E+01
        17   -0.74080E+00   -0.25136E+00    0.12262E+00    0.14667E+02    0.17044E+00    0.19370E+02    0.58672E+01
        18   -0.33500E+00   -0.25136E+00    0.12262E+00    0.14667E+02    0.17044E+00    0.19370E+02    0.58672E+01
        19   -0.45320E+00   -0.29615E+00    0.12160E+00    0.22469E+02    0.17754E+00    0.30142E+02    0.56327E+01
        20   -0.37710E+00   -0.29615E+00    0.12160E+00    0.22469E+02    0.17754E+00    0.30142E+02    0.56327E+01
        21   -0.29730E+00   -0.29521E+00    0.12198E+00    0.11709E+02    0.16467E+00    0.14894E+02    0.60729E+01
        22   -0.17380E+00   -0.26715E+00    0.12243E+00    0.13084E+02    0.16773E+00    0.17001E+02    0.59620E+01
        23   -0.24740E+00   -0.26715E+00    0.12243E+00    0.13084E+02    0.16773E+00    0.17001E+02    0.59620E+01
        24   -0.15630E+00   -0.26715E+00    0.12243E+00    0.13084E+02    0.16773E+00    0.17001E+02    0.59620E+01
        25   -0.13960E+00   -0.25559E+00    0.12259E+00    0.14250E+02    0.16979E+00    0.18752E+02    0.58895E+01
        26   -0.24600E+00   -0.25559E+00    0.12259E+00    0.14250E+02    0.16979E+00    0.18752E+02    0.58895E+01
        27   -0.11410E+00   -0.25559E+00    0.12259E+00    0.14250E+02    0.16979E+00    0.18752E+02    0.58895E+01
        28   -0.22910E+00   -0.31603E+00    0.12164E+00    0.11091E+02    0.16299E+00    0.13930E+02    0.61352E+01
        29   -0.31450E+00   -0.31603E+00    0.12164E+00    0.11091E+02    0.16299E+00    0.13930E+02    0.61352E+01
        30   -0.17230E+00   -0.31603E+00    0.12164E+00    0.11091E+02    0.16299E+00    0.13930E+02    0.61352E+01
        31   -0.26870E+00   -0.31603E+00    0.12164E+00    0.11091E+02    0.16299E+00    0.13930E+02    0.61352E+01
        32   -0.57740E+00   -0.57710E+00    0.11347E+00    0.70213E+02    0.18382E+00    0.76848E+02    0.54400E+01
        33   -0.50810E+00   -0.29615E+00    0.12160E+00    0.22469E+02    0.17754E+00    0.30142E+02    0.56327E+01
        34   -0.39760E+00   -0.29615E+00    0.12160E+00    0.22469E+02    0.17754E+00    0.30142E+02    0.56327E+01
        35   -0.33830E+00   -0.28010E+00    0.12224E+00    0.12372E+02    0.16624E+00    0.15917E+02    0.60153E+01
        36   -0.64700E+00   -0.31331E+00    0.12128E+00    0.23963E+02    0.17829E+00    0.32052E+02    0.56089E+01
        37   -0.43320E+00   -0.31603E+00    0.12164E+00    0.11091E+02    0.16299E+00    0.13930E+02    0.61352E+01
        38   -0.39430E+00   -0.31603E+00    0.12164E+00    0.11091E+02    0.16299E+00    0.13930E+02    0.61352E+01
        39   -0.68740E+00   -0.25136E+00    0.12262E+00    0.14667E+02    0.17044E+00    0.19370E+02    0.58672E+01
        40   -0.41800E+00   -0.25136E+00    0.12262E+00    0.14667E+02    0.17044E+00    0.19370E+02    0.58672E+01
        41   -0.49870E+00   -0.49270E+00    0.10079E+00    0.34104E+03    0.18142E+00    0.19836E+03    0.55122E+01
        42   -0.46700E-01   -0.31603E+00    0.12164E+00    0.11091E+02    0.16299E+00    0.13930E+02    0.61352E+01
        43   -0.63130E+00   -0.55412E+00    0.11475E+00    0.60099E+02    0.18360E+00    0.68719E+02    0.54468E+01
