     Index  y_measurement      y_fitting   descriptor_1
         1   -0.73000E-01   -0.28698E+00    0.12212E+00
         2   -0.12240E+00   -0.28698E+00    0.12212E+00
         3   -0.68400E-01   -0.28698E+00    0.12212E+00
         4   -0.60000E-01   -0.28698E+00    0.12212E+00
         5   -0.95500E-01   -0.28698E+00    0.12212E+00
         6   -0.55200E-01   -0.28698E+00    0.12212E+00
         7   -0.76900E-01   -0.30912E+00    0.12059E+00
         8   -0.10770E+01   -0.35080E+00    0.11771E+00
         9   -0.36140E+00   -0.35080E+00    0.11771E+00
        10   -0.11450E+00   -0.35080E+00    0.11771E+00
        11   -0.19680E+00   -0.35080E+00    0.11771E+00
        12   -0.84900E-01   -0.35080E+00    0.11771E+00
        13   -0.51090E+00   -0.38467E+00    0.11537E+00
        14   -0.42970E+00   -0.28698E+00    0.12212E+00
        15   -0.20360E+00   -0.28698E+00    0.12212E+00
        16   -0.50170E+00   -0.53055E+00    0.10529E+00
        17   -0.37490E+00   -0.36557E+00    0.11669E+00
        18   -0.74080E+00   -0.27974E+00    0.12262E+00
        19   -0.45320E+00   -0.29450E+00    0.12160E+00
        20   -0.37710E+00   -0.29450E+00    0.12160E+00
        21   -0.29730E+00   -0.28900E+00    0.12198E+00
        22   -0.17380E+00   -0.28249E+00    0.12243E+00
        23   -0.24740E+00   -0.28249E+00    0.12243E+00
        24   -0.15630E+00   -0.28249E+00    0.12243E+00
        25   -0.13960E+00   -0.28018E+00    0.12259E+00
        26   -0.24600E+00   -0.28018E+00    0.12259E+00
        27   -0.11410E+00   -0.28018E+00    0.12259E+00
        28   -0.22910E+00   -0.29393E+00    0.12164E+00
        29   -0.31450E+00   -0.29393E+00    0.12164E+00
        30   -0.17230E+00   -0.29393E+00    0.12164E+00
        31   -0.26870E+00   -0.29393E+00    0.12164E+00
        32   -0.57740E+00   -0.41217E+00    0.11347E+00
        33   -0.50810E+00   -0.29450E+00    0.12160E+00
        34   -0.39760E+00   -0.29450E+00    0.12160E+00
        35   -0.33830E+00   -0.28524E+00    0.12224E+00
        36   -0.64700E+00   -0.29914E+00    0.12128E+00
        37   -0.43320E+00   -0.29393E+00    0.12164E+00
        38   -0.39430E+00   -0.29393E+00    0.12164E+00
        39   -0.68740E+00   -0.27974E+00    0.12262E+00
        40   -0.41800E+00   -0.27974E+00    0.12262E+00
        41   -0.49870E+00   -0.59568E+00    0.10079E+00
        42   -0.46700E-01   -0.29393E+00    0.12164E+00
